 ,Area,Mean,Min,Max
1,2,105.500,105,106
2,2,105.500,105,106
3,9,104.667,103,106
4,2,105.500,105,106
5,2,105.000,104,106
6,2,106.000,106,106
7,4,104.500,104,105
8,4,106.000,106,106
9,3,106.000,106,106
10,6,105.167,104,106
11,2,106.000,106,106
12,3,105.333,104,106
13,4,105.250,104,106
14,2,106.000,106,106
15,6,106.000,106,106
16,2,106.000,106,106
17,5,106.000,106,106
18,2,106.000,106,106
19,2,106.000,106,106
20,2,106.000,106,106
21,4,104.500,104,105
22,5,105.600,105,106
23,2,106.000,106,106
24,2,105.500,105,106
25,3,105.333,105,106
26,5,106.000,106,106
27,10,103.900,103,106
28,4,105.250,105,106
29,6,106.000,106,106
30,5,105.800,105,106
31,3,105.667,105,106
32,4,106.000,106,106
33,3,105.667,105,106
34,6,105.833,105,106
35,2,104.000,103,105
36,4,104.750,103,106
37,8,105.875,105,106
38,2,105.500,105,106
39,5,105.800,105,106
40,2,106.000,106,106
41,8,105.750,105,106
42,3,105.667,105,106
43,2,106.000,106,106
44,4,106.000,106,106
45,2,105.500,105,106
46,4,106.000,106,106
47,5,106.000,106,106
48,12,106.000,106,106
49,7,104.857,102,106
50,4,105.750,105,106
51,7,106.000,106,106
52,8,104.875,101,106
53,2,106.000,106,106
54,12,106.000,106,106
55,2,105.500,105,106
56,2,105.500,105,106
57,2,105.500,105,106
58,2,105.000,104,106
59,2,105.500,105,106
60,2,104.000,104,104
61,5,105.800,105,106
62,3,104.333,102,106
63,2,106.000,106,106
64,9,104.444,102,106
65,2,105.500,105,106
66,3,105.333,105,106
67,4,103.250,102,104
68,4,103.750,99,106
69,6,104.167,101,106
70,3,103.333,102,105
71,2,106.000,106,106
72,2,105.500,105,106
73,2,105.500,105,106
74,7,105.714,105,106
75,2,106.000,106,106
76,5,106.000,106,106
77,3,106.000,106,106
78,6,105.333,103,106
79,2,106.000,106,106
80,3,105.000,104,106
81,6,105.500,104,106
82,8,104.250,103,105
83,3,105.333,104,106
84,6,105.667,105,106
85,9,105.111,104,106
86,3,105.667,105,106
87,5,105.400,104,106
88,8,105.875,105,106
89,2,106.000,106,106
90,2,106.000,106,106
91,2,106.000,106,106
92,2,105.000,105,105
93,2,105.500,105,106
94,2,105.500,105,106
95,3,106.000,106,106
96,3,106.000,106,106
97,8,105.500,105,106
98,5,104.200,103,105
99,4,106.000,106,106
100,6,105.000,104,106
101,2,106.000,106,106
102,3,106.000,106,106
103,2,105.500,105,106
104,5,105.200,104,106
105,3,102.333,101,103
106,2,105.000,104,106
107,3,105.000,104,106
108,2,106.000,106,106
109,7,104.857,102,106
110,5,105.600,105,106
111,2,106.000,106,106
112,3,106.000,106,106
113,5,104.800,103,106
114,9,104.000,101,106
115,2,105.500,105,106
116,2,106.000,106,106
117,5,105.000,103,106
118,6,105.833,105,106
119,3,106.000,106,106
120,5,104.800,104,106
121,5,104.000,103,105
122,2,106.000,106,106
123,2,106.000,106,106
124,2,106.000,106,106
125,6,104.833,104,106
126,3,106.000,106,106
127,9,105.111,103,106
128,2,105.000,104,106
129,4,104.250,103,106
130,4,103.750,102,105
131,3,105.667,105,106
132,2,106.000,106,106
133,2,106.000,106,106
134,3,104.667,103,106
135,3,104.667,103,106
136,7,104.286,103,105
137,2,106.000,106,106
138,3,106.000,106,106
139,2,106.000,106,106
140,2,106.000,106,106
141,2,105.500,105,106
142,2,106.000,106,106
143,3,106.000,106,106
144,2,106.000,106,106
145,3,106.000,106,106
146,4,105.000,105,105
147,2,106.000,106,106
148,3,106.000,106,106
149,2,106.000,106,106
150,4,106.000,106,106
151,2,106.000,106,106
152,4,104.750,104,105
153,2,103.500,103,104
154,10,104.800,104,106
155,5,105.000,105,105
156,3,106.000,106,106
157,2,106.000,106,106
158,3,106.000,106,106
159,2,106.000,106,106
160,7,105.857,105,106
161,3,105.667,105,106
162,5,106.000,106,106
163,3,105.333,104,106
164,2,106.000,106,106
165,3,105.667,105,106
166,3,106.000,106,106
167,2,105.500,105,106
168,3,105.000,104,106
169,7,104.857,104,106
170,4,106.000,106,106
171,9,106.000,106,106
172,2,106.000,106,106
173,2,104.500,103,106
174,3,105.667,105,106
175,2,106.000,106,106
176,6,105.167,104,106
177,7,104.571,104,105
178,6,104.500,104,106
179,4,106.000,106,106
180,8,105.750,105,106
181,7,105.857,105,106
182,8,105.625,104,106
183,3,106.000,106,106
184,9,105.000,104,106
185,3,106.000,106,106
186,2,106.000,106,106
187,2,105.500,105,106
188,2,106.000,106,106
189,4,105.750,105,106
190,3,105.667,105,106
191,2,105.500,105,106
192,4,106.000,106,106
193,7,105.143,103,106
194,2,105.000,104,106
195,2,106.000,106,106
196,3,106.000,106,106
197,2,106.000,106,106
198,7,103.714,102,106
199,2,106.000,106,106
200,11,101.182,99,105
201,4,106.000,106,106
202,2,106.000,106,106
203,2,106.000,106,106
204,2,106.000,106,106
205,2,106.000,106,106
206,2,106.000,106,106
207,3,106.000,106,106
208,2,106.000,106,106
209,2,105.000,105,105
210,3,106.000,106,106
211,2,106.000,106,106
212,2,106.000,106,106
213,2,106.000,106,106
214,2,106.000,106,106
215,3,105.333,104,106
216,2,106.000,106,106
217,2,106.000,106,106
218,2,106.000,106,106
219,3,105.667,105,106
220,3,106.000,106,106
221,4,104.750,104,106
222,5,106.000,106,106
223,3,106.000,106,106
224,5,104.600,104,106
225,6,106.000,106,106
226,2,106.000,106,106
227,2,106.000,106,106
228,6,104.833,103,106
229,3,106.000,106,106
230,4,105.500,105,106
231,3,106.000,106,106
232,3,106.000,106,106
233,2,106.000,106,106
234,10,106.000,106,106
235,5,106.000,106,106
236,4,105.000,104,106
237,3,106.000,106,106
238,2,106.000,106,106
239,5,106.000,106,106
240,6,106.000,106,106
241,7,105.000,104,106
242,8,105.000,102,106
243,3,106.000,106,106
244,3,106.000,106,106
245,2,105.000,105,105
246,3,106.000,106,106
247,4,106.000,106,106
248,5,106.000,106,106
249,2,106.000,106,106
250,2,106.000,106,106
251,8,106.000,106,106
252,2,106.000,106,106
253,2,106.000,106,106
254,4,106.000,106,106
255,7,106.000,106,106
256,2,102.500,102,103
257,3,104.667,104,106
258,3,105.667,105,106
259,7,105.000,103,106
260,4,106.000,106,106
261,6,105.833,105,106
262,3,105.000,104,106
263,3,106.000,106,106
264,3,106.000,106,106
265,4,106.000,106,106
266,2,106.000,106,106
267,2,105.500,105,106
268,3,106.000,106,106
269,8,105.250,104,106
270,2,106.000,106,106
271,5,106.000,106,106
272,2,106.000,106,106
273,3,106.000,106,106
274,11,105.909,105,106
275,2,106.000,106,106
276,2,106.000,106,106
277,3,106.000,106,106
278,3,104.000,102,105
279,3,106.000,106,106
280,2,106.000,106,106
281,5,106.000,106,106
282,4,106.000,106,106
283,2,106.000,106,106
284,4,106.000,106,106
285,7,105.286,105,106
286,3,106.000,106,106
287,3,106.000,106,106
288,2,102.500,99,106
289,3,105.667,105,106
290,2,106.000,106,106
291,4,106.000,106,106
292,3,106.000,106,106
293,2,104.500,103,106
294,2,105.000,105,105
295,4,106.000,106,106
296,2,104.000,104,104
297,2,106.000,106,106
298,3,105.333,104,106
299,2,104.500,104,105
300,2,106.000,106,106
301,10,105.400,102,106
302,3,106.000,106,106
303,2,106.000,106,106
304,2,106.000,106,106
305,3,104.667,103,106
306,2,106.000,106,106
307,2,106.000,106,106
308,2,106.000,106,106
309,3,105.667,105,106
310,2,105.000,105,105
311,2,105.000,105,105
312,8,103.875,102,106
313,4,105.000,103,106
314,12,105.917,105,106
315,2,106.000,106,106
316,3,106.000,106,106
317,11,105.091,103,106
318,4,105.500,105,106
319,2,106.000,106,106
320,5,104.800,102,106
321,2,106.000,106,106
322,2,106.000,106,106
323,2,106.000,106,106
324,2,106.000,106,106
325,2,106.000,106,106
326,4,105.250,104,106
327,2,106.000,106,106
328,2,106.000,106,106
329,2,106.000,106,106
330,2,106.000,106,106
331,2,106.000,106,106
332,3,106.000,106,106
333,2,106.000,106,106
334,5,105.200,105,106
335,2,105.500,105,106
336,2,106.000,106,106
337,5,104.600,103,106
338,4,106.000,106,106
339,9,105.222,104,106
340,3,104.333,103,106
341,2,105.500,105,106
342,4,106.000,106,106
343,3,106.000,106,106
344,2,105.000,105,105
345,2,105.000,105,105
346,2,106.000,106,106
347,5,106.000,106,106
348,2,105.500,105,106
349,2,106.000,106,106
350,6,104.333,103,106
351,3,106.000,106,106
352,3,106.000,106,106
353,3,105.667,105,106
354,4,105.750,105,106
355,2,106.000,106,106
356,3,105.333,105,106
357,2,106.000,106,106
358,5,106.000,106,106
359,5,105.800,105,106
360,2,105.500,105,106
361,2,106.000,106,106
362,6,105.333,104,106
363,3,106.000,106,106
364,6,106.000,106,106
365,2,106.000,106,106
366,3,104.000,103,106
367,2,106.000,106,106
368,3,106.000,106,106
369,2,106.000,106,106
370,2,105.500,105,106
371,2,106.000,106,106
372,6,103.833,103,105
373,6,104.667,103,106
374,3,106.000,106,106
375,3,105.000,105,105
376,3,105.667,105,106
377,3,103.667,103,104
378,3,105.333,104,106
379,9,103.667,102,105
380,3,105.000,104,106
381,2,106.000,106,106
382,2,106.000,106,106
383,2,106.000,106,106
384,2,106.000,106,106
385,2,106.000,106,106
386,2,106.000,106,106
387,4,106.000,106,106
388,12,104.417,103,106
389,4,106.000,106,106
390,8,106.000,106,106
391,3,105.667,105,106
392,12,106.000,106,106
